Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2021-08-28,Norwich,Leicester,74,80,76,82,73,81,73,79,45,40,24,25,163.2,526.549999,1,2,A,1,1,D,14,9,4,3,8,9,9,9,2,1,0,0,1.44,1.27,0.51,0.56,1.5,1.19,10.96,8.77,4.5,3.5,1.85,4.6,3.5,1.83,4.1,3.65,1.9,4.47,3.54,1.93,4.2,3.4,1.88,4.1,3.7,1.87,4.4,3.67,1.91
E0,2021-08-28,West Ham,Crystal Palace,79,76,79,77,78,75,78,74,36,33,26,25,354.9,271.05,2,2,D,1,0,H,14,9,4,2,10,7,5,3,1,0,0,0,1.45,1.68,1.11,1.43,1.13,1.58,11.19,8.89,1.55,4.0,6.5,1.57,4.0,6.0,1.6,3.85,6.25,1.59,4.07,6.64,1.55,3.8,6.5,1.55,4.0,6.5,1.59,4.0,6.8
E0,2021-08-28,Liverpool,Chelsea,84,83,86,84,83,85,85,82,49,44,24,25,918.9,914.5,1,1,D,1,1,D,24,6,7,3,13,4,12,3,0,2,0,1,2.08,0.57,0.84,0.57,2.49,0.35,7.28,28.09,2.45,3.3,2.9,2.45,3.4,2.85,2.5,3.25,2.95,2.52,3.36,3.06,2.45,3.25,2.9,2.5,3.3,2.9,2.47,3.36,3.13
E0,2021-08-29,Burnley,Leeds,76,76,75,78,76,77,77,76,35,35,27,23,138.05,299.45,1,1,D,0,0,D,12,12,3,2,13,9,5,5,4,3,0,0,1.71,1.52,1.55,0.62,1.52,1.15,14.42,8.13,3.1,3.5,2.25,3.1,3.4,2.3,3.05,3.45,2.3,3.15,3.58,2.35,3.0,3.3,2.35,3.0,3.5,2.3,3.35,3.6,2.24
E0,2021-08-29,Tottenham,Watford,82,75,86,75,80,74,80,74,45,47,23,25,689.35,156.2,1,0,H,1,0,H,15,9,8,2,8,14,10,3,3,3,0,0,0.92,0.6,0.64,0.55,1.6,1.03,11.52,19.25,1.36,4.75,9.0,1.44,4.5,7.75,1.47,4.5,7.0,1.45,4.42,9.04,1.4,4.33,8.5,1.44,4.4,8.0,1.44,4.65,8.5
E0,2021-08-29,Wolverhampton Wanderers,Manchester United,78,83,78,83,79,84,78,83,38,43,24,25,376.95,769.15,0,1,A,0,0,D,15,10,6,3,7,9,5,7,3,4,0,0,1.8,0.94,0.65,0.86,2.07,0.66,24.64,9.15,5.0,3.5,1.75,5.0,3.4,1.8,4.6,3.55,1.8,5.14,3.51,1.83,5.0,3.4,1.78,4.6,3.6,1.8,4.93,3.8,1.79
E0,2021-09-11,Crystal Palace,Tottenham,76,82,77,86,75,80,74,80,33,45,25,23,271.05,689.35,3,0,H,0,0,D,18,2,4,1,13,15,8,2,2,1,0,1,2.89,0.08,1.61,0.08,2.97,0.01,6.04,12.76,4.2,3.5,1.9,4.4,3.3,1.91,4.1,3.45,1.95,4.42,3.47,1.96,4.33,3.3,1.91,4.1,3.3,1.91,3.95,3.33,2.13
E0,2021-09-11,Arsenal,Norwich,79,74,82,76,80,73,77,73,41,45,23,24,613.05,163.2,1,0,H,0,0,D,30,10,7,1,9,11,8,4,1,2,0,0,2.69,0.58,1.95,0.43,2.68,0.22,12.5,19.36,1.5,4.6,6.0,1.5,4.5,6.25,1.53,4.4,6.0,1.53,4.57,6.5,1.5,4.2,6.5,1.45,4.33,6.5,1.44,4.91,7.9
E0,2021-09-11,Brentford,Brighton,73,75,73,75,73,75,74,76,38,43,24,24,273.3,318.0,0,1,A,0,0,D,7,4,1,2,9,12,1,6,3,2,0,0,0.73,0.29,0.73,0.29,1.77,0.8,10.13,6.62,2.8,3.2,2.62,2.8,3.2,2.65,2.85,3.1,2.65,2.93,3.19,2.72,2.75,3.1,2.7,2.8,3.0,2.63,3.14,3.0,2.7
E0,2021-09-11,Leicester,Manchester City,80,85,82,85,81,87,79,85,40,39,25,24,526.549999,1000.0,0,1,A,0,0,D,6,25,1,8,4,11,5,8,1,2,0,0,0.8,2.75,0.74,1.71,0.28,2.59,77.75,9.46,6.0,4.0,1.57,5.5,4.25,1.57,5.5,4.2,1.6,5.87,4.26,1.61,5.8,4.2,1.55,5.5,4.0,1.57,5.62,4.15,1.65
E0,2021-09-11,Manchester United,Newcastle United,83,76,83,78,84,75,83,74,43,34,25,27,769.15,313.9,4,1,H,1,0,H,21,12,7,3,9,2,7,3,1,0,0,0,2.77,0.62,1.8,0.44,2.76,0.16,8.58,36.43,1.18,7.5,15.0,1.2,7.0,14.0,1.2,7.0,13.0,1.19,7.56,16.42,1.2,6.5,15.0,1.17,7.0,15.0,1.2,7.45,15.76
E0,2021-09-11,Southampton,West Ham,76,79,76,79,76,78,76,78,33,36,25,26,274.3,354.9,0,0,D,0,0,D,11,13,3,3,10,12,5,4,3,1,0,1,0.69,0.73,0.62,0.4,1.29,1.34,23.92,7.7,2.9,3.5,2.4,2.95,3.5,2.35,2.85,3.45,2.45,2.93,3.48,2.54,2.88,3.25,2.45,2.75,3.5,2.4,3.16,3.55,2.36
E0,2021-09-11,Watford,Wolverhampton Wanderers,75,78,75,78,74,79,74,78,47,38,25,24,156.2,376.95,0,2,A,0,0,D,6,14,2,5,15,13,6,8,3,3,0,0,0.19,2.56,0.15,1.9,0.04,2.92,14.05,7.23,3.4,3.2,2.25,3.3,3.25,2.3,3.3,3.15,2.3,3.47,3.22,2.36,3.3,3.1,2.3,3.25,3.1,2.25,3.67,3.21,2.28
E0,2021-09-11,Chelsea,Aston Villa,83,78,84,79,85,77,82,77,44,44,25,24,914.5,487.75,3,0,H,1,0,H,12,18,4,6,11,11,4,11,1,4,0,0,1.22,1.17,0.77,0.86,1.36,1.32,9.89,9.87,1.28,5.5,11.0,1.3,5.5,10.0,1.33,5.25,10.0,1.31,5.51,12.17,1.29,5.25,11.0,1.29,5.0,11.0,1.35,5.38,10.33
E0,2021-09-12,Leeds,Liverpool,76,84,78,86,77,83,76,85,35,49,23,24,299.45,918.9,0,3,A,0,1,A,9,30,4,9,9,8,2,11,2,1,1,0,0.65,4.4,0.52,4.16,0.05,2.93,38.0,16.8,4.33,4.0,1.75,4.4,4.0,1.75,4.2,4.1,1.77,4.54,4.15,1.78,4.4,3.8,1.75,4.2,3.9,1.73,5.04,4.48,1.66
E0,2021-09-13,Everton,Burnley,79,76,80,75,79,76,79,77,42,35,25,27,479.05,138.05,3,1,H,0,0,D,14,11,6,6,3,6,4,6,1,1,0,0,1.8,1.82,1.16,1.79,1.33,1.4,11.94,10.85,1.7,3.75,5.0,1.75,3.7,4.75,1.73,3.7,4.9,1.74,3.83,5.35,1.73,3.5,5.0,1.7,3.5,5.0,1.78,3.53,5.58
E0,2021-09-17,Newcastle United,Leeds,76,76,78,78,75,77,74,76,34,35,27,23,313.9,299.45,1,1,D,1,1,D,17,22,7,9,9,11,4,5,2,2,0,0,1.18,1.43,1.0,1.05,1.17,1.56,16.9,5.54,3.0,3.6,2.3,2.95,3.6,2.3,2.95,3.55,2.3,3.05,3.69,2.36,3.0,3.5,2.25,3.0,3.7,2.3,3.25,3.74,2.23
E0,2021-09-18,Wolverhampton Wanderers,Brentford,78,73,78,73,79,73,78,74,38,38,24,24,376.95,273.3,0,2,A,0,2,A,11,9,0,3,10,7,4,2,4,2,0,1,1.02,2.33,0.57,1.11,0.41,2.41,12.57,10.78,1.83,3.25,5.0,1.85,3.3,4.75,1.9,3.3,4.7,1.93,3.3,4.98,1.91,3.1,4.6,1.87,3.3,5.0,1.83,3.42,5.38
E0,2021-09-18,Burnley,Arsenal,76,79,75,82,76,80,77,77,35,41,27,23,138.05,613.05,0,1,A,0,1,A,18,13,3,3,9,8,8,3,2,1,0,0,0.78,1.1,0.53,0.55,1.02,1.66,12.7,10.82,3.8,3.6,1.95,3.9,3.4,2.0,3.7,3.5,2.05,3.87,3.57,2.06,3.8,3.4,2.0,3.9,3.3,1.95,3.94,3.79,1.98
